Date,Capture Site,Capture UTM-Y,Capture UTM-X,Length (mm),Weight (g),Dorsal Gap (mm),Girth (mm),Genetic,PIT Tagged (Y/N),Status,,PIT Tag #,Radio Tag #,Surgery Time (MM:SS),Injuries,Recovery Tank Temp,Release Site,Release UTM-X,Release UTM-Y,Release Time,Release Temp,Tank Water Temp,Tagger,Genetic,,Lamprey ID,,,
8/9/2023,Shears,5013394.42,653819.54,540,307,12,27,4129,y,Alive,,3D6.1D59577668,440290,9:02,none,13,BEAV,611558.12,4980505.68,11AM,15,14,AK,4129,CI-29,LI-29,M-29,,
8/9/2023,Shears,5013394.42,653819.54,660,464,17,37,4130,y,Alive,,3D6.1D59577650,440289,8:42,none,13,BEAV,611558.12,4980505.68,11AM,15,14,AK,4130,CI-30,LI-30,M-30,,
8/9/2023,Shears,5013394.42,653819.54,620,392,15,34,4131,y,Alive,,3D6.1D59577652,440293,8:32,none,14,BEAV,611558.12,4980505.68,11AM,15,14,AK,4131,CI-31,LI-31,M-31,,
8/9/2023,Shears,5013394.42,653819.54,620,419,15,35,4132,y,Alive,,3D6.1D5957760B,440294,8:00,none,14,BEAV,611558.12,4980505.68,11AM,15,14,AK,4132,CI-32,LI-32,M-32,,
8/9/2023,Shears,5013394.42,653819.54,590,313,13,26,4133,y,Alive,,3D6.1D59577640,440295,7:50,none,14,BEAV,611558.12,4980505.68,11AM,15,14,AK,4133,CI-33,LI-33,M-33,,
8/9/2023,Shears,5013394.42,653819.54,590,352,14,31,4134,y,Alive,,3D6.1D5957761D,440296,7:14,none,14,BEAV,611558.12,4980505.68,11AM,15,14,AK,4134,CI-34,LI-34,M-34,,
8/9/2023,Shears,5013394.42,653819.54,540,260,13,28,4135,y,Alive,,3D6.1D59577663,440297,,none,14,BEAV,611558.12,4980505.68,11AM,15,14,AK,4135,CI-35,LI-35,M-35,,
8/9/2023,Shears,5013394.42,653819.54,600,326,14,29,4136,y,Alive,,3D6.1D59577660,440298,,none,14,BEAV,611558.12,4980505.68,11AM,15,14,AK,4136,CI-36,LI-36,M-36,,
8/11/2023,Shears,5013394.42,653819.54,580,354,13,30,4137,Y,Alive,,3D6.1D5957763D,440299,13:00,,,BEAV,611558.12,4980505.68,,,,AK,4137,CI-37,LI-37,M-37,,
8/11/2023,Shears,5013394.42,653819.54,530,270,12,25,4138,Y,Alive,,3D6.1D5957764D,440300,10:52,,,WS,618811.36,4984291.2,,,,AK,4138,CI-38,LI-38,M-38,,
8/11/2023,Shears,5013394.42,653819.54,660,534,16,36,4139,Y,Alive,,3D6.1D59577618,440304,14:06,,,BEAV,611558.12,4980505.68,,,,,4139,CI-39,LI-39,M-39,,
8/11/2023,Shears,5013394.42,653819.54,505,222,11,24,4140,Y,Alive,,3D6.1D59577628,none,2:00,,,WS,618811.36,4984291.2,,,,,4140,CI-40,LI-40,M-40,,
8/11/2023,Shears,5013394.42,653819.54,592,344,14,26,4141,Y,Alive,,3D6.1D59577665,440303,8:53,,,WS,618811.36,4984291.2,,,,,4141,CI-41,LI-41,M-41,,
8/11/2023,Shears,5013394.42,653819.54,560,340,14,28,4142,Y,Alive,,3D6.1D5957763B,440302,6:00,,,WS,618811.36,4984291.2,,,,,4142,CI-42,LI-42,M-42,,
8/11/2023,Shears,5013394.42,653819.54,575,405,15,31,4143,Y,Alive,,3D6.1D59577637,440301,5:36,,,WS,618811.36,4984291.2,,,,,4143,CI-43,LI-43,M-43,,
8/11/2023,Shears,5013394.42,653819.54,565,309,14,25,4144,Y,Alive,,3D6.1D5957763C,440305,8:15,,,BEAV,611558.12,4980505.68,,,,,4144,CI-44,LI-44,M-44,,
8/11/2023,Shears,5013394.42,653819.54,520,273,12,24,4145,Y,Alive,,3D6.1D5957764F,440306,6:52,,,WS,618811.36,4984291.2,,,,,4145,CI-45,LI-45,M-45,,
8/11/2023,Shears,5013394.42,653819.54,515,229,13,19,4146,Y,Alive,,3D6.1D5957762E,440307,6:36,,,BEAV,611558.12,4980505.68,,,,,4146,CI-46,LI-46,M-46,,
8/11/2023,Shears,5013394.42,653819.54,565,323,14,26,4147,Y,Alive,,3D6.1D5957765F,440308,7:03,,,BEAV,611558.12,4980505.68,,,,,4147,CI-47,LI-47,M-47,,
8/11/2023,Shears,5013394.42,653819.54,572,314,14,28,4148,Y,Alive,,3D6.1D59577633,440309,7:25,,,BEAV,611558.12,4980505.68,,,,,4148,CI-48,LI-48,M-48,,
8/11/2023,Shears,5013394.42,653819.54,510,229,12,19,4149,Y,Alive,,3D6.1D59577631,none,2:36,,,WS,618811.36,4984291.2,,,,,4149,CI-49,LI-49,M-49,,
